1.268100000000000000e+04,1.551166540409318340e-01,7.601903485580379094e-01,1.489849632387348632e-01
1.268200000000000000e+04,1.928831462329687607e-01,2.174414545888011252e-01,6.520964607988251061e-01
1.268300000000000000e+04,3.565527967688380540e-01,4.311362499346902410e-01,2.340426562069758132e-01
1.268400000000000000e+04,2.430493383876141111e-01,4.633150359478822033e-01,3.049222888196725378e-01
1.249200000000000000e+04,2.077331047088243343e-01,3.026312104238595424e-01,5.077302610201646083e-01
1.249000000000000000e+04,5.966631734616674176e-01,2.264647644432644380e-01,2.050129406424111012e-01
1.267900000000000000e+04,2.206544814297101698e-01,7.895916722629943152e-01,7.089508391443138935e-02
1.249500000000000000e+04,7.039248865902300034e-01,9.654368754664260921e-02,2.281655072208263191e-01
1.267800000000000000e+04,5.807695432408220837e-01,3.580221528399909481e-01,1.157477661383125300e-01
1.268100000000000000e+04,1.382855685113528743e-01,1.055391593979737239e-02,8.553833953514474731e-01
1.228300000000000000e+04,5.681893162656574958e-01,4.301638175278093557e-01,4.378594858730640998e-02
1.286400000000000000e+04,2.627394937598849789e-01,7.382035586256545656e-01,8.614095020206660736e-02
1.249400000000000000e+04,1.654350420784881648e-01,6.710502333983500156e-01,1.714278400583345574e-01
1.249700000000000000e+04,2.048053460413516436e-01,1.572677925017346712e-01,6.543390479677865246e-01
1.228000000000000000e+04,9.581990587576219021e-01,2.821016869545546479e-02,1.460161520302511937e-02
1.248900000000000000e+04,3.156649497262451476e-01,3.076859106912719910e-01,3.814182218844653360e-01
1.249600000000000000e+04,1.267756456735042170e-01,7.826681655034751772e-01,9.275999277212285121e-02
1.228100000000000000e+04,3.015776103322601043e-01,3.192577619140946066e-01,3.797326868068372496e-01
1.248800000000000000e+04,3.217171442198025755e-01,3.062854391198380766e-01,3.792854997022649388e-01
1.286200000000000000e+04,3.696395512987856735e-01,2.938589249859284158e-01,3.615465778035475974e-01
1.250000000000000000e+04,3.540789135190248738e-01,5.423865551098295823e-01,1.519033900683753879e-01
1.248600000000000000e+04,8.283331927764185920e-01,5.028222860418290335e-02,1.296433142618984291e-01
1.228200000000000000e+04,1.891086774707342322e-01,5.174707111193794784e-01,2.935180976889258941e-01
1.228500000000000000e+04,1.129027010067557152e-01,8.842028616381928385e-01,3.255542914468571337e-03
1.229100000000000000e+04,4.069790740921784278e-01,4.908032581973756914e-01,1.184321033624902708e-01
1.267700000000000000e+04,3.102468188650132630e-01,4.459078142965644531e-01,2.547278326859563347e-01
